0, 0
1, 422
2, 409
3, 365
4, 362
5, 317
6, 309
7, 326
8, 273
9, 278
10, 272
11, 248
12, 249
13, 252
14, 229
15, 217
16, 223
17, 209
18, 185
19, 192
20, 176
21, 168
22, 165
23, 145
24, 156
25, 181
26, 184
27, 200
28, 172
29, 168
30, 173
31, 193
32, 191
33, 191
34, 192
35, 196
36, 231
37, 185
38, 199
39, 188
40, 182
41, 170
42, 189
43, 161
44, 157
45, 138
46, 139
47, 141
48, 139
49, 137
50, 135
51, 142
52, 130
53, 144
54, 139
55, 116
56, 124
57, 111
58, 106
59, 97
60, 100
61, 103
62, 98
63, 113
64, 107
65, 112
66, 121
67, 121
68, 134
69, 126
70, 116
71, 126
72, 122
73, 125
74, 133
75, 141
76, 129
77, 142
78, 127
79, 128
80, 121
81, 122
82, 121
83, 129
84, 134
85, 140
86, 116
87, 136
88, 131
89, 137
90, 130
91, 121
92, 127
93, 127
94, 118
95, 117
96, 119
97, 106
98, 103
99, 99
100, 92
101, 97
102, 94
103, 94
104, 90
105, 95
106, 89
107, 96
108, 91
109, 102
110, 93
111, 112
112, 102
113, 116
114, 117
115, 131
116, 105
117, 112
118, 105
119, 109
120, 106
121, 115
122, 107
123, 119
124, 109
125, 125
126, 117
127, 121
128, 110
129, 125
130, 115
131, 128
132, 133
133, 118
134, 126
135, 123
136, 124
137, 122
138, 128
139, 124
140, 127
141, 117
142, 130
143, 123
144, 126
145, 118
146, 108
147, 95
148, 96
149, 93
150, 98
151, 106
152, 93
153, 105
154, 94
155, 100
156, 91
157, 93
158, 95
159, 101
160, 108
161, 111
162, 98
163, 114
164, 95
165, 101
166, 92
167, 97
168, 100
169, 111
170, 109
171, 108
172, 110
173, 88
174, 83
175, 82
176, 83
177, 86
178, 85
179, 94
180, 88
181, 88
182, 88
183, 89
184, 87
185, 84
186, 80
187, 90
188, 81
189, 89
190, 88
191, 87
192, 88
193, 87
194, 81
195, 80
196, 71
197, 63
198, 57
199, 59
200, 56
201, 55
202, 59
203, 56
204, 51
205, 51
206, 52
207, 51
208, 59
209, 52
210, 63
211, 51
212, 48
213, 45
214, 49
215, 49
216, 55
217, 42
218, 41
219, 42
220, 44
221, 47
222, 45
223, 55
224, 49
225, 65
226, 57
227, 73
228, 65
229, 73
230, 77
231, 89
232, 53
233, 57
234, 57
235, 57
236, 57
237, 57
238, 57
239, 57
240, 57
241, 57
242, 57
243, 57
244, 57
245, 57
246, 57
247, 57
248, 57
249, 57
250, 57
251, 57
252, 57
253, 57
254, 57
255, 57
256, 57
257, 57
258, 57
259, 57
260, 57
261, 57
262, 57
263, 57
264, 57
265, 57
266, 57
267, 57
268, 57
269, 57
270, 57
271, 57
272, 57
273, 57
274, 57
275, 57
276, 57
277, 57
278, 57
279, 57
280, 57
281, 57
282, 57
283, 57
284, 57
285, 57
286, 57
287, 57
288, 57
289, 57
290, 57
291, 57
292, 57
293, 57
294, 57
295, 57
296, 57
297, 57
298, 57
299, 57
300, 57
